2024-07-25 09:28:26.137 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
2024-07-25 09:28:26.581 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.250 сек., синхр.=0.079 сек., всего=0.445 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.040 сек., средняя=0.027 сек.; расстояние=0 kB, ожидалось=3438 kB; lsn=0/260D520, lsn redo=0/260D4E8
2024-07-25 09:33:26.594 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
2024-07-25 09:33:32.884 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 45 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=4.952 сек., синхр.=1.192 сек., всего=6.291 сек.; синхронизировано_файлов=38, самая_долгая_синхр.=0.057 сек., средняя=0.032 сек.; расстояние=16 kB, ожидалось=3096 kB; lsn=0/2611740, lsn redo=0/2611708
2024-07-25 10:11:29.204 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-07-25 10:11:29.606 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.109 сек., синхр.=0.174 сек., всего=0.403 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.041 сек., средняя=0.025 сек.; расстояние=5251 kB, ожидалось=5251 kB; lsn=0/2B323D8, lsn redo=0/2B323A0
2024-07-25 10:16:29.616 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
2024-07-25 10:16:31.564 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 14 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.514 сек., синхр.=0.318 сек., всего=1.949 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.062 сек., средняя=0.032 сек.; расстояние=50 kB, ожидалось=4731 kB; lsn=0/2B3ED08, lsn redo=0/2B3ECD0
2024-07-25 16:08:21.710 +05 [18108] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-07-25 16:08:21.711 +05 [15292] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-07-25 16:08:21.713 +05 [12068] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-07-25 16:18:13.555 +05 [1596] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-07-25 16:21:51.415 +05 [20840] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-07-25 16:27:26.147 +05 [10504] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-07-25 16:33:21.604 +05 [9224] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-07-25 16:38:06.644 +05 [22912] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-07-25 16:41:20.566 +05 [7296] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-07-25 16:48:27.997 +05 [16808] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
