2024-07-30 10:33:14.636 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-07-30 10:33:15.135 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.117 сек., синхр.=0.208 сек., всего=0.503 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.046 сек., средняя=0.026 сек.; расстояние=5216 kB, ожидалось=5216 kB; lsn=0/598BF90, lsn redo=0/598BF58
2024-07-30 10:38:14.152 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
2024-07-30 10:38:14.692 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.348 сек., синхр.=0.081 сек., всего=0.540 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.029 сек., средняя=0.021 сек.; расстояние=8 kB, ожидалось=4695 kB; lsn=0/598E0A8, lsn redo=0/598E070
2024-07-30 11:12:41.006 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-07-30 11:12:41.385 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.015 сек., синхр.=0.193 сек., всего=0.379 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.045 сек., средняя=0.028 сек.; расстояние=5221 kB, ожидалось=5221 kB; lsn=0/5EA7608, lsn redo=0/5EA75D0
2024-07-30 11:13:12.358 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-07-30 11:13:12.789 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.028 сек., синхр.=0.248 сек., всего=0.431 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.039 сек., средняя=0.025 сек.; расстояние=5244 kB, ожидалось=5244 kB; lsn=0/63C66A8, lsn redo=0/63C6670
2024-07-30 11:13:42.089 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-07-30 11:13:42.365 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.007 сек., синхр.=0.152 сек., всего=0.276 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.031 сек., средняя=0.019 сек.; расстояние=5229 kB, ожидалось=5242 kB; lsn=0/68E1DE8, lsn redo=0/68E1DB0
2024-07-30 11:18:42.386 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
2024-07-30 11:19:04.470 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 202 (1.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=21.705 сек., синхр.=0.231 сек., всего=22.084 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.042 сек., средняя=0.024 сек.; расстояние=5318 kB, ожидалось=5318 kB; lsn=0/6E16620, lsn redo=0/6E13738
2024-07-30 11:19:04.498 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-07-30 11:19:04.636 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.028 сек., всего=0.139 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.028 сек., средняя=0.028 сек.; расстояние=11 kB, ожидалось=4787 kB; lsn=0/6E166D0, lsn redo=0/6E16698
2024-07-30 11:19:10.425 +05 [30744] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
